issue,cat
ModifiedCyclomaticComplexity,F
PrematureDeclaration,F
CyclomaticComplexity,F
EmptyIfStmt,F
NPathComplexity,F
TooManyFields,M
TooManyMethods,M
GodClass,M
Duplicate100,D
Duplicate50,D
NcssMethodCount,D
SingularField,D
NcssMethodCount50,D
CollapsibleIfStatements,E
SimplifyBooleanReturns,E
SimplifyBooleanExpressions,E
PositionLiteralsFirstInComparisons,E
ConfusingTernary,E
AvoidReassigningParameters,E
AvoidInstantiatingObjectsInLoops,I
MissingBreakInSwitch,I
SwitchStmtsShouldHaveDefault,I
LawOfDemeter,M
LooseCoupling,M
